High,High_x,HighMedium,HighMedium_x,Medium,Medium_x,MediumLow,MediumLow_x,Low,Low_x
25419,2010-08-13,90215,2011-01-25,86102,2010-06-02,21207,2010-12-22,88668,2010-04-29
82618,2010-09-24,82686,2010-10-11,24221,2010-08-20,82775,2010-08-16,88590,2010-02-26
70033,2010-07-08,77730,2010-10-12,66384,2010-05-28,67467,2010-08-10,51377,2010-03-31
85914,2010-12-21,50017,2010-04-29,75828,2010-11-24,76226,2010-03-31,83699,2011-01-04
71563,2010-08-30,79879,2010-10-28,78877,2010-03-26,75034,2010-03-26,75186,2010-08-31
53613,2010-07-30,92611,2010-05-18,78877,2010-03-26,70308,2010-12-22,67467,2010-11-16
79879,2010-10-28,92611,2010-05-18,89258,2010-11-30,92988,2010-12-02,80266,2010-08-17
79879,2010-10-28,88668,2010-05-27,14702,2010-09-13,86725,2010-07-29,49373,2010-07-16
15202,2010-10-27,71563,2010-10-25,47941,2010-07-30,11754,2010-02-24,17005,2010-10-29
51706,2010-08-19,80303,2010-10-28,85269,2010-09-24,64186,2010-04-30,69032,2010-09-28
88991,2010-05-17,24221,2010-08-20,76841,2010-05-28,11754,2010-06-30,75577,2010-03-29
84342,2010-03-02,89179,2010-04-30,76841,2010-06-11,52708,2010-10-20,61621,2010-08-12
84342,2010-10-18,84373,2010-07-23,90162,2010-08-25,91547,2010-10-27,89626,2010-01-26
50017,2010-09-27,18403,2011-01-18,11600,2010-07-27,65330,2010-02-25,46886,2010-03-15
35554,2010-10-21,86176,2010-04-29,76149,2010-06-25,23819,2010-11-05,46886,2010-03-15
77274,2010-05-26,24459,2010-08-16,54148,2011-02-28,44951,2010-06-30,75825,2010-03-25
71563,2010-09-17,77605,2010-05-28,87070,2011-01-26,87842,2010-09-30,75825,2010-03-25
79094,2010-09-01,18403,2010-08-16,60097,2010-08-24,91233,2010-05-18,52337,2010-10-26
88668,2010-07-06,18403,2010-08-16,75489,2010-05-13,85631,2010-07-08,90215,2010-10-11
75573,2010-04-29,81774,2010-05-04,88313,2010-10-28,90319,2010-03-23,90215,2010-10-11
86580,2010-08-03,89757,2010-11-19,49015,2010-09-27,84129,2010-03-04,82307,2010-07-23
51706,2010-11-24,92988,2010-07-30,75510,2010-06-30,27983,2010-07-09,82307,2010-07-23
90215,2010-10-11,91233,2010-05-18,73139,2010-08-25,83699,2010-11-26,90038,2010-11-19
85792,2010-09-16,70332,2010-04-30,76282,2010-04-05,76639,2010-03-18,90038,2010-11-19
79094,2010-08-31,76076,2010-12-03,54148,2010-10-29,86580,2010-05-18,49015,2010-08-20
84342,2011-01-31,44951,2010-10-26,11081,2010-07-06,20482,2010-12-29,39490,2010-03-26
15202,2010-09-23,77462,2011-02-02,34032,2010-06-17,73139,2010-07-29,12052,2010-07-20
89301,2010-03-09,90071,2010-10-28,64282,2011-01-25,52230,2010-06-16,81774,2010-03-25
76712,2010-03-25,86021,2010-07-27,78877,2010-03-26,45241,2010-04-28,89813,2010-05-03
81776,2011-01-31,79265,2010-03-08,52337,2010-09-24,51369,2010-09-09,87299,2010-10-11
59176,2010-10-11,88668,2010-10-05,88991,2010-03-26,87432,2010-07-30,79265,2010-10-08
24221,2010-12-15,90038,2010-11-19,52337,2010-10-26,82775,2010-09-24,77462,2010-07-16
23819,2010-06-01,43123,2010-08-27,75257,2010-10-27,38682,2010-11-30,90993,2010-01-26
85914,2010-12-21,40416,2010-06-02,34746,2010-07-21,89301,2010-02-26,90993,2010-01-26
85963,2011-02-23,52708,2010-06-22,64186,2010-05-04,36397,2010-10-25,11081,2010-09-23
89757,2010-06-30,21573,2010-09-28,50017,2010-04-29,90805,2010-12-31,20482,2010-05-20
47466,2010-10-27,89258,2010-10-29,50017,2010-03-26,91611,2010-11-29,76712,2010-02-26
48267,2010-07-30,75510,2010-10-06,91233,2010-07-19,88661,2010-07-19,88668,2010-02-26
48267,2010-07-30,91611,2011-01-05,40416,2010-12-29,40125,2010-09-09,21207,2011-02-25
60442,2010-10-15,75510,2010-09-29,52337,2010-03-11,77605,2010-03-15,89179,2010-12-30
